Symbol,Price Level,Note,Foreground Color,Background Color,Diameter
ESH4.CME@RITHMIC,4792.50,GBXH,#ffffff,#083044,1
ESH4.CME@RITHMIC,4787.75,GBXL,#ffffff,#083044,1
ESH4.CME@RITHMIC,4792.50,ETHH,#000000,#ff9900,1
ESH4.CME@RITHMIC,4787.75,ETHL,#000000,#ff9900,1
ESH4.CME@RITHMIC,4802.25,RTHH,#ffffff,#0033cc,1
ESH4.CME@RITHMIC,4780.25,RTHL,#ffffff,#0033cc,1
ESH4.CME@RITHMIC,4791.50,IBH,#ffffff,#0033cc,1
ESH4.CME@RITHMIC,4780.25,IBL,#ffffff,#0033cc,1
ESH4.CME@RITHMIC,4802.25,PGBXH,#ffffff,#083044,1
ESH4.CME@RITHMIC,4769.50,PGBXL,#ffffff,#083044,1
ESH4.CME@RITHMIC,4802.25,PRTHH,#000000,#ffcc00,1
ESH4.CME@RITHMIC,4780.25,PRTHL,#000000,#ffcc00,1
ESH4.CME@RITHMIC,4793.00,RVPOC,#ffffff,#ff3333,1
ESH4.CME@RITHMIC,4789.50,EVPOC,#ffffff,#ff3333,1
ESH4.CME@RITHMIC,4791.25,RMID,#000000,#ffff00,1
ESH4.CME@RITHMIC,4789.25,RCLS,#000000,#ff9900,1
ESH4.CME@RITHMIC,4790.25,EMID,#000000,#ffff00,1
ESH4.CME@RITHMIC,4782.00,ROP,#ffffff,#ff66ff,1
ESH4.CME@RITHMIC,4789.50,GBXVPOC,#ffffff,#ff66ff,1
ESH4.CME@RITHMIC,4790.25,GBXVWAP,#000000,#ffcc00,1
ESH4.CME@RITHMIC,4791.75,RTHVWAP,#000000,#ffcc00,1
ESH4.CME@RITHMIC,4790.25,ONVWAP,#000000,#ffff00,1
